N ,Parameter 1,Parameter 2,Parameter 3,Parameter 5,Parameter 6,Parameter 7,Parameter 8,Parameter 9,Parameter 10,Parameter 11,Parameter 12,Parameter 13,Parameter 14,Parameter 15,Parameter 16,Parameter 17,Parameter 18,Parameter 19,Parameter 20,Parameter 21,Parameter 22,Parameter 31,Parameter 32,Parameter 33,Parameter 34,Parameter 35,Parameter 36,Parameter 37,Parameter 38,Parameter 39,Populations
11,1.346532,5.033436,1.497278399,3.326603834,3.93,5.24,1.31,3.93,0.325278103,8.696647949,2.509114051,0,0,0,0,0,,,,,0,5,3,2,0.202,0.202,0,0,0,0,Control
12,1.876984,7.666304,2.491733775,3.843503158,1.31,5.24,1.31,5.24,0.157815084,5.890937427,1.676880361,0.342838889,0.053305556,0,0.289533333,0,0.155482815,0,0.844517185,0,0,2,2,3,9.571049054,9.571049054,0,0,0,0,Control
18,1.346532,7.459254,3.288245609,3.543978647,5.24,13.1,7.86,5.24,0.847909391,21.07183072,1.476918488,0.557744444,0,0.309733333,0,0.248011111,0,0.555331992,0,0.444668008,0.268211111,4,3,3,0.557548614,0,0.021400484,0.347452752,0,0.181332976,Control
1,52.147512,68.597988,7.180906948,6.591450979,5.24,9.17,1.31,6.55,0.890119672,19.16076483,2.23058395,0.400732402,0,0.054822523,0.345909879,0,0,0.136805816,0.863194184,0,0.239937374,14,1,4,0,0,0,0,0,0,stim
2,9.140096,18.433308,2.958325372,6.465412885,3.93,10.48,1.31,9.17,1.435592413,19.97226305,1.876746581,0.219508258,0.002330769,0.053262255,0.112659452,0.051255782,0.010618139,0.242643512,0.513235597,0.233502752,0.525266568,5,1,2,0,0,0,0,0,0,stim
8,2.693064,11.976378,4.238326906,3.654977574,5.24,19.65,1.31,17.03,1.085812688,16.7241941,5.151824557,0.413579183,0.089657754,0.323921429,0,0,0.216784978,0.783215022,0,0,0.286486811,4,1,2,0.057714286,0,0,0,0,0,stim
13,0.652864,2.591054,0.818314681,4.744816554,2.62,15.72,2.62,13.1,0.960227191,27.15904795,8.855867156,0,0,0,0,0,,,,,0,2,1,3,2.747497043,2.747497043,0,0,0,0,stim
15,0.693668,3.778814,1.638134312,3.283718859,2.62,14.41,3.93,10.48,1.654545546,16.01733713,2.62100757,0.101,0,0,0,0.101,0,0,0,1,0,1,1,1,7.055556675,7.055556675,0,0,0,0,stim
20,0.367236,3.028788,1.987845558,3.669749813,2.62,6.55,1.31,5.24,0.274747491,7.242281365,1.933630254,0,0,0,0,0,,,,,0,3,2,2,3.757417198,3.757417198,0,0,0,0,stim
22,1.060904,6.565404,3.233232681,2.13673977,3.93,22.27,5.24,17.03,1.920629144,15.79659606,12.01365064,0.91405,0.10605,0.404,0,0.404,0.116022099,0.44198895,0,0.44198895,0,5,1,2,0.031076923,0,0,0,0,0,stim
32,0.448844,1.911122,0.647547358,5.354817004,2.62,18.34,10.48,7.86,0.519008219,10.77316454,2.386607782,0.0202,0,0,0.0202,0,0,0,1,0,0,4,1,1,0,0,0,0,0,0,stim
34,0.61206,3.289368,1.406763412,3.042760803,2.62,5.24,2.62,2.62,0.181818172,4.39857716,0.912693242,0,0,0,0,0,,,,,0,4,3,2,3.922130543,3.922130543,0,0,0,0,stim
48,0.40804,2.25028,0.987553239,2.617129544,2.62,13.1,6.55,6.55,0.380909085,3.413765796,1.274853516,0,0,0,0,0,,,,,0,4,2,1,0,0,0,0,0,0,stim
3,8.895272,27.608148,6.818760746,5.658334362,2.62,6.55,2.62,3.93,0.412093282,10.57091482,1.101916646,0,0,0,0,0,,,,,0.120934807,3,2,2,4.164336682,4.164336682,0,0,0,0,stim
4,8.079192,34.938728,12.02365168,4.483190239,3.93,5.24,2.62,2.62,0.36056,10.64075264,1.74759428,0,0,0,0,0,,,,,0,5,2,1,4.997204018,4.997204018,0,0,0,0,stim
14,2.774672,14.669442,6.171712304,3.15488026,3.93,3.93,1.31,2.62,0.235695168,5.878538592,1.617558562,0,0,0,0,0,,,,,0.264156315,1,1,4,7.950182136,7.950182136,0,0,0,0,stim
27,0.530452,2.307042,0.798463461,3.867333443,2.62,5.24,1.31,3.93,0.297902107,7.537963849,1.079295545,0,0,0,0,0,,,,,0,2,1,1,7.088516113,7.08153345,0,0,0,0,stim
1,40.640784,54.193974,5.750823728,5.261578674,3.93,5.24,1.31,3.93,0.587544203,14.35596368,1.699201051,0.002468818,0,0,0,0.002468818,0,0,0,1,0.003389033,8,1,6,0,0,0,0,0,0,Control
7,4.651656,19.604302,6.574841897,4.591892881,6.55,10.48,5.24,5.24,0.465423286,16.52313534,2.438326995,0.197261187,0.169062951,0,0,0.028198236,0.857051273,0,0,0.142948727,0,5,3,8,0.857013419,0.857013419,0,0,0,0,Control
8,7.099896,30.29091,10.2840171,3.073547781,3.93,3.93,1.31,1.31,0.256054014,7.683424841,1.983842174,0,0,0,0,0,,,,,0.174328107,7,2,3,0.202,0.202,0,0,0,0,Control
11,0.530452,2.572672,0.992916858,2.518091029,3.93,62.88,2.62,60.26,4.809559345,62.79004649,80.59561676,0.0101,0,0,0,0.0101,0,0,0,1,0.0101,1,1,8,18.382,18.382,0,0.296726688,0,0,Control
22,3.549948,17.616218,6.956543362,3.73630228,2.62,6.55,2.62,3.93,0.198415354,6.411526902,1.326368177,0,0,0,0,0,,,,,0,5,2,2,0.404,0.404,0,0,0,0,Control
28,0.448844,2.28866,0.928661135,4.792786203,3.93,14.41,6.55,7.86,0.849955857,26.8614822,4.571973581,0,0,0,0,0,,,,,0,1,1,3,21.21,21.21,0,0,0,0,Control
38,0.652864,3.35118,1.368872269,3.966821508,2.62,3.93,1.31,2.62,0.286407769,8.011062496,1.22438313,0.168333333,0,0.016833333,0,0.1515,0,0.1,0,0.9,0.016833333,6,6,3,13.938,13.938,0,0.098908896,0,0,Control
47,0.897688,3.499852,1.085835598,2.870722351,3.93,6.55,2.62,2.62,0.460282415,7.981630743,2.000756056,0,0,0,0,0,,,,,0.023566667,1,1,5,14.948,14.948,0,0,0,0,Control
48,0.897688,4.93991,2.16323046,3.606176419,2.62,5.24,2.62,2.62,0.227272689,5.69600399,0.803382843,0,0,0,0,0,,,,,0,3,2,7,11.918,11.918,0,0,0,0,Control
49,0.367236,1.645492,0.586727492,5.795552659,2.62,14.41,2.62,11.79,0.804746509,29.06325069,5.422577992,0,0,0,0,0,,,,,0,2,2,6,4.47771481,4.44858854,0,0.049091785,0,0,Control
50,0.489648,2.307042,0.865002082,2.628046675,3.93,10.48,2.62,7.86,0.466828495,8.884220832,4.189265951,0,0,0,0,0,,,,,0,2,1,3,3.369748631,3.361950029,0.005251151,0.101992116,0,0,Control
53,0.571256,2.307042,0.741430356,5.545469959,2.62,5.24,2.62,2.62,0.349514574,11.02634289,0.640473319,0,0,0,0,0,,,,,0,2,2,2,8.06483577,8.06483577,0,0,0,0,Control
55,0.979296,4.767806,1.847197393,2.301764648,3.93,7.86,3.93,3.93,0.297734618,6.943350215,1.075646349,0,0,0,0,0,,,,,0,8,6,2,11.93339683,11.93339683,0,0,0,0,Control
59,0.489648,2.763158,1.240845154,4.066725257,2.62,11.79,1.31,10.48,0.488673121,13.72048939,5.895631707,0,0,0,0,0,,,,,0,6,5,4,13.7865,13.736,0,0,0,0,Control
63,0.40804,2.101608,0.861372144,3.783752197,3.93,20.96,7.86,13.1,1.397087336,15.69240823,2.783303849,0,0,0,0,0,,,,,0,2,1,4,19.67500876,19.63144875,0.082178543,0,0,0,Control
71,0.571256,2.213516,0.682534632,2.621499822,3.93,5.24,1.31,3.93,0.381414741,6.390596414,2.008756929,0,0,0,0,0,,,,,0,6,6,4,14.0895,13.938,0,0,0,0,Control
82,0.367236,1.645492,0.586727492,4.293666478,3.93,5.24,2.62,1.31,0.340884596,12.45658711,2.324209171,0,0,0,0,0,,,,,0,3,1,5,12.726,12.726,0,0,0,0,Control
83,0.448844,1.929504,0.660064048,4.170848342,2.62,3.93,1.31,2.62,0.278022975,6.714675508,1.169238542,0,0,0,0,0,,,,,0,2,2,4,20.17271157,20.17271157,0,0,0,0,Control
101,0.489648,3.349564,1.823403195,4.088125862,2.62,3.93,1.31,2.62,0.342233002,6.522791604,0.886409425,0,0,0,0,0,,,,,0,5,4,2,17.50642545,17.43530327,0,0,0,0,Control
104,0.367236,1.911122,0.791446771,6.25211446,2.62,5.24,2.62,2.62,0.316073328,11.51935317,1.145625518,0,0,0,0,0,,,,,0,2,2,2,8.06483577,8.06483577,0,0,0,0,Control
112,0.367236,1.551966,0.521926434,4.613911725,2.62,5.24,1.31,3.93,0.222222209,5.139684442,1.246752259,0,0,0,0,0,,,,,0,2,2,2,19.77744028,19.77744028,0,0,0,0,Control
116,0.367236,1.645492,0.586727492,4.35412973,2.62,3.93,1.31,2.62,0.143473566,6.08391745,1.069522902,0,0,0,0,0,,,,,0,2,2,6,17.86872407,17.86872407,0,0,0,0,Control
5,5.957384,24.251918,7.856456742,4.626935581,3.93,7.86,2.62,5.24,0.436228186,10.88773955,1.505144752,0,0,0,0,0,,,,,0.13874823,16,3,4,26.16738283,26.16738283,0,0,0,0,Control
6,5.018892,17.15182,4.664474319,4.761284745,2.62,14.41,2.62,11.79,0.812060893,11.50120865,3.349102304,0.020636444,0,0.004031205,0.016605239,0,0,0.195343957,0.804656043,0,0.667936496,4,1,4,22.23468606,22.23468606,0,0,0,0,Control
9,2.978692,10.066872,2.707407516,6.540664737,2.62,5.24,1.31,3.93,1.086048603,25.002891,1.22182929,0.730544455,0.106878307,0,0.623666149,0,0.146299525,0,0.853700475,0,0.201955188,6,2,6,25.1952268,24.98602009,0.022892677,0.039124291,0,0,Control
10,3.67236,14.660958,4.657679349,6.111281876,3.93,14.41,2.62,11.79,0.729234159,20.41160448,3.758436117,1.190798148,0.030643963,0.386943074,0.029177778,0.744033333,0.025733969,0.324944303,0.024502707,0.624819021,0,14,7,8,29.60530138,29.37346728,0.037454787,0.142519455,0,0,Control
12,3.427536,13.693782,4.353664219,4.1978997,6.55,11.79,2.62,7.86,0.622515023,17.41022598,5.256724452,0.050382284,0.050382284,0,0,0,1,0,0,0,0,16,7,3,30.51910192,28.5928128,0,0,0,0,Control
13,2.0402,11.807708,5.438117689,5.947513892,2.62,7.86,1.31,6.55,0.255339801,8.29360657,1.115130065,0,0,0,0,0,,,,,0.614386356,13,7,4,30.88537785,30.6887133,0,0,0,0,Control
15,1.346532,5.60146,1.854282652,5.031787276,3.93,17.03,2.62,14.41,0.923506975,24.11298445,9.008042353,0,0,0,0,0,,,,,0.300977814,8,5,6,32.21473725,32.16116596,0,0,0,0,Control
17,2.570652,9.123128,2.576525138,5.252067051,2.62,3.93,1.31,2.62,0.257050395,6.423850616,0.751622274,0,0,0,0,0,,,,,0,12,8,6,29.64173632,29.64173632,0,0,0,0,Control
19,1.672964,4.786188,1.089640025,7.745500996,6.55,11.79,3.93,7.86,0.895571828,28.27208801,2.365689533,0,0,0,0,0,,,,,0,9,6,3,32.07286766,32.07286766,0,0,0,0,Control
20,1.63216,6.65893,2.161903501,3.282805817,5.24,9.17,3.93,5.24,0.825242758,17.80345955,3.554245943,0.580839118,0,0.008169118,0,0.57267,0,0.014064338,0,0.985935662,0.042733562,5,4,5,25.92688156,25.81888743,0.006092639,0.007455966,0,0,Control
24,1.958592,9.133026,3.389031049,3.926249235,5.24,10.48,3.93,5.24,0.430218428,12.82421113,1.616466172,0,0,0,0,0,,,,,0.148419098,13,6,3,30.85888881,30.56013665,0,0,0,0,Control
26,0.530452,2.442382,0.894893237,5.302907987,3.93,17.03,13.1,3.93,0.898431659,27.86453691,1.011744536,0,0,0,0,0,,,,,0,1,1,4,35.64854223,35.543965,0,0,0,0,Control
29,1.468944,6.816086,2.51683659,3.516658,3.93,7.86,2.62,3.93,0.316343069,8.292134489,2.312910365,0.925993651,0.051622222,0,0,0.874371429,0.055747922,0,0,0.944252078,0,4,3,6,42.07907765,42.07907765,0,0,0,0,Control
31,1.795376,5.882038,1.533523277,6.381133746,2.62,3.93,1.31,2.62,0.362533092,8.712772578,0.968784253,0,0,0,0,0,,,,,0,2,1,4,26.13929953,26.13929953,0,0,0,0,Control
32,1.183316,5.03182,1.702705713,5.782617144,5.24,7.86,2.62,5.24,0.673250794,15.38582166,2.8962603,0,0,0,0,0,,,,,0,2,2,2,29.1979104,29.1979104,0,0,0,0,Control
33,1.42814,5.16716,1.48772675,4.291722469,3.93,7.86,1.31,6.55,0.341747552,8.424268037,2.561037256,0,0,0,0,0,,,,,0,4,3,6,41.82229386,41.82229386,0,0,0,0,Control
34,1.0201,5.37421,2.253080215,8.103498421,2.62,9.17,3.93,5.24,0.646213591,22.21346632,1.837683424,0.066721212,0,0.0606,0,0.006121212,0,0.908256881,0,0.091743119,0,4,4,7,41.49133273,41.45136471,0.021004603,0,0,0,Control
36,1.42814,5.843658,1.902781563,5.844023168,2.62,5.24,1.31,3.93,0.449098468,9.880344874,1.459444871,0,0,0,0,0,,,,,0,2,2,3,28.96217927,28.96217927,0,0,0,0,Control
37,0.652864,2.400568,0.702417689,3.351223678,2.62,5.24,2.62,2.62,0.529126227,15.00971956,0.734141351,0,0,0,0,0,,,,,0,1,1,6,33.73736863,33.67104305,0,0.022576669,0,0,Control
44,1.346532,7.096664,2.97633591,6.163863184,3.93,7.86,3.93,3.93,0.776698947,18.65829597,2.01314048,0.282003782,0,0.042236364,0.051942857,0.187824561,0,0.14977233,0.184192058,0.666035611,0.141961111,6,3,3,25.01864619,24.99989736,0.047206151,0.047126532,0,0,Control
51,0.856884,3.87739,1.396198201,4.580251106,2.62,9.17,1.31,7.86,0.272306979,7.319843006,1.939424208,0,0,0,0,0,,,,,0,8,1,6,31.92175265,31.92175265,0,0,0,0,Control
52,2.489044,12.335534,4.864895002,4.392093224,3.93,5.24,1.31,3.93,0.259589344,7.214417075,1.460305004,0,0,0,0,0,,,,,0.243943056,15,8,2,29.52311372,29.52311372,0,0,0,0,Control
54,0.652864,3.596812,1.576895419,4.304490606,3.93,6.55,1.31,5.24,0.493932039,11.5063972,2.522862334,0,0,0,0,0,,,,,0,7,2,3,32.61221029,32.61221029,0,0,0,0,Control
60,0.367236,2.25028,1.097281376,3.805602831,2.62,6.55,1.31,5.24,0.267529637,9.390483178,0.570215131,0,0,0,0,0,,,,,0,2,1,2,29.83656931,29.83656931,0,0,0,0,Control
62,1.183316,5.126962,1.76770421,5.235746173,5.24,10.48,3.93,6.55,0.470036834,13.45317314,3.621565206,3.411802198,0,0.543846154,0,2.867956044,0,0.159401431,0,0.840598569,0,7,4,2,31.15814786,30.64347324,0,0,0,0,Control
65,0.938492,5.260686,2.346628397,4.80131205,2.62,6.55,1.31,5.24,0.358801186,6.788221641,1.563360017,0.030606061,0,0,0,0.030606061,0,0,0,1,0,6,3,4,25.42713865,25.42713865,0,0,0,0,Control
66,0.40804,2.362188,1.088219027,4.854327311,2.62,6.55,2.62,3.93,0.381553411,12.42173277,1.634266341,0,0,0,0,0,,,,,0,2,2,6,23.432,23.432,0,0,0,0,Control
70,0.856884,4.80457,2.143764884,3.102241506,2.62,3.93,1.31,2.62,0.367545068,3.593369036,0.734434093,0.003672727,0,0,0.003672727,0,0,0,1,0,0.009619048,1,1,3,10.57040693,10.14233129,0,0,0,0,Control
72,0.367236,1.911122,0.791446771,1.560412469,2.62,6.55,1.31,5.24,0.404530734,3.223673611,0.971861603,0,0,0,0,0,,,,,0,1,1,2,3.901267999,3.901267999,0,0,0,0,Control
75,0.367236,1.775782,0.683320086,4.837735093,3.93,9.17,5.24,3.93,0.436893195,15.38901791,2.049023368,0,0,0,0,0,,,,,0,2,2,6,23.4573579,23.432,0.024727224,0.016484816,0,0,Control
76,0.367236,1.551966,0.521926434,3.515745119,2.62,5.24,1.31,3.93,0.179072261,6.022989878,0.739181539,0,0,0,0,0,,,,,0,1,1,6,19.27592343,19.27592343,0,0,0,0,Control
84,0.448844,2.591054,1.1902759,3.23525461,2.62,5.24,1.31,3.93,0.398940831,5.969423336,1.546389594,0,0,0,0,0,,,,,0,4,1,3,30.52407967,30.45849215,0.019627673,0.035714968,0,0,Control
87,0.61206,2.51591,0.822974428,2.419973934,2.62,3.93,1.31,2.62,0.34627831,2.476081093,0.718653273,0.026933333,0,0,0.006733333,0.0202,0,0,0.25,0.75,0,1,1,7,30.08715241,30.08715241,0,0,0,0,Control
90,0.489648,2.460764,0.984115519,4.942685585,2.62,5.24,1.31,3.93,0.293689311,9.795654891,1.019833218,0.0404,0,0,0,0.0404,0,0,0,1,0.018363636,1,1,3,17.67163898,17.44700089,0,0,0,0,Control
94,0.448844,2.02303,0.725603482,8.355074897,2.62,5.24,2.62,2.62,0.281553417,10.60382888,0.89251124,0,0,0,0,0,,,,,0,9,2,3,30.50266887,30.50266887,0,0,0,0,Control
96,0.367236,1.929504,0.806744947,4.509865877,2.62,3.93,1.31,2.62,0.193095997,7.141077806,0.684426046,0,0,0,0,0,,,,,0,1,1,4,12.783584,12.783584,0,0,0,0,Control
103,0.40804,2.059794,0.827437071,3.750172694,2.62,5.24,1.31,3.93,0.452427149,5.497799047,1.194268682,0,0,0,0,0,,,,,0,2,1,3,26.97513173,26.97513173,0,0,0,0,Control
107,0.367236,1.947886,0.822189564,5.502597584,2.62,6.55,2.62,3.93,0.292340875,8.07420263,1.181697201,0,0,0,0,0,,,,,0,5,2,5,32.63409873,32.63409873,0,0,0,0,Control
110,0.448844,1.911122,0.647547358,3.918452699,2.62,6.55,1.31,5.24,0.41747573,5.049299167,1.504971857,0,0,0,0,0,,,,,0,4,1,2,25.53939895,25.47763788,0,0,0,0,Control
2,20.238784,25.825498,2.622425326,4.021979962,6.55,18.34,2.62,14.41,1.239488602,16.0009339,4.529343313,0.110452819,0.065573485,0.005980263,0,0.038899071,0.593678688,0.054143146,0,0.352178165,0.355810258,7,2,7,0,0,0,0,0,0,Control
3,10.40502,22.562996,3.893505114,4.981625105,3.93,7.86,2.62,5.24,0.580848992,10.57622814,1.91356541,0.004266717,0,0.004266717,0,0,0,1,0,0,0.005980392,6,2,1,0,0,0,0,0,0,Control
4,3.0603,12.581166,4.11592942,5.041822902,10.48,35.37,17.03,18.34,1.757799387,40.94525737,6.409408219,0.092850349,0.010762934,0.048808612,0,0.033278802,0.115917005,0.525669673,0,0.358413321,0.139589458,3,2,8,1.616,1.616,0.08242408,0.049454448,0,0,Control
14,5.1005,22.32908,7.778915313,4.156168298,2.62,3.93,1.31,2.62,0.457475722,5.983429425,0.991977574,0.019347358,0,0.001970732,0.015685606,0.00169102,0,0.10186051,0.810736351,0.087403139,0.006302485,6,3,1,1.01,1.01,0,0,0,0,Control
16,1.83618,7.28715,2.301390424,2.341143946,5.24,7.86,3.93,3.93,0.646170437,7.091950409,1.564424001,0,0,0,0,0,,,,,0,3,1,4,0,0,0,0,0,0,Control
18,1.999396,9.159892,3.339427531,3.317752096,6.55,24.89,3.93,19.65,0.723598182,12.39982554,3.612941062,0,0,0,0,0,,,,,0,4,2,3,2.303154359,2.303154359,0,0,0,0,Control
42,0.734472,4.826386,2.5238236,4.012685192,2.62,3.93,1.31,2.62,0.258899659,6.714237808,0.995988672,0,0,0,0,0,,,,,0,2,1,3,0.451685731,0.451685731,0,0,0,0,Control
45,0.652864,3.369562,1.383930619,2.246523265,3.93,13.1,1.31,13.1,0.665655315,6.953277931,6.867599984,0,0,0,0,0,,,,,0,2,1,3,0.202,0.202,0,0,0,0,Control
1,5.018892,15.103742,3.617024101,3.80770045,20.96,36.68,18.34,18.34,3.091798544,45.99887458,6.248109389,0.324792259,0.016833333,0.16380438,0,0.144154545,0.051828,0.50433585,0,0.44383615,0.607889441,7,1,3,0,0,0,0.28848428,0,0.28848428,Control
2,1.0201,4.184834,1.366167216,2.446977496,5.24,26.2,13.1,13.1,1.584854484,22.64886574,7.30929783,0,0,0,0,0,,,,,0,1,1,3,0,0,0,0,0,0,Control
3,1.305728,5.63984,1.938523122,1.347615192,2.62,10.48,6.55,3.93,0.611953855,4.632708545,2.47286617,0.0707,0.058075,0,0.012625,0,0.821428571,0,0.178571429,0,0.1212,6,3,1,0,0,0,0,0,0,Control
6,1.142512,5.599844,2.184143774,4.425148555,6.55,7.86,3.93,3.93,1.136962533,15.55521578,0.9099606,0.006733333,0,0,0.006733333,0,0,0,1,0,0.006733333,3,2,3,0.101,0,0,0,0,0,Control
7,0.61206,3.122314,1.267503861,3.37234542,3.93,23.58,11.79,11.79,1.766990185,16.65897236,5.377047207,0.0505,0,0.0505,0,0,0,1,0,0,0,3,2,1,0.031076923,0,0,0,0,0,Control
8,0.81608,4.01273,1.570136029,3.430541201,13.1,37.99,10.48,26.2,1.899514437,25.22166376,7.944023575,0.006733333,0,0,0.006733333,0,0,0,1,0,0,5,4,1,0,0,0,0,0,0,Control
11,0.448844,1.775782,0.55908007,5.063915367,2.62,2.62,1.31,1.31,0.114739619,5.549828429,0.443961979,0,0,0,0,0,,,,,0,1,1,2,3.439936046,3.439936046,0,0,0,0,Control
14,7.018288,28.443418,9.17323496,1.543732306,3.93,14.41,2.62,11.79,0.227211744,3.810602782,2.907148851,0,0,0,0,0,,,,,0.302788535,12,1,8,0,0,0,0,0,0,stim
32,3.101104,9.422088,2.278075519,2.605201906,6.55,15.72,3.93,11.79,0.311326832,11.25458962,4.887525922,0,0,0,0,0,,,,,0.197764026,9,2,10,0,0,0,0,0,0,stim
61,0.775276,3.593378,1.325377536,1.817471009,2.62,15.72,9.17,6.55,0.477916837,5.818338686,1.547246837,0.104060606,0,0,0.104060606,0,0,0,1,0,0.104060606,4,3,10,0.690963275,0.606,0,0,0,0,stim
67,1.387336,6.281392,2.263186137,2.346741914,2.62,36.68,19.65,17.03,0.758535624,16.58908368,4.269911867,0.120077778,0,0,0.0808,0.039277778,0,0,0.672897196,0.327102804,0.305535931,5,3,15,0.067333333,0,0,0,0,0,stim
77,1.713768,8.24766,3.158636179,2.129449557,2.62,9.17,6.55,2.62,0.200965703,4.319929734,0.915049095,0.099446154,0,0,0.089346154,0.0101,0,0,0.8984375,0.1015625,0.139539474,7,5,6,0,0,0,0,0,0,stim
108,1.142512,6.92961,3.344621306,2.26419003,2.62,11.79,3.93,7.86,0.645229816,8.854851864,1.811014172,0.428868067,0.067333333,0.147652381,0.213882353,0,0.157002441,0.344283924,0.498713635,0,0.58397521,9,7,9,0.183912304,0,0,0,0,0,stim
110,0.897688,3.994348,1.414348762,1.48547299,2.62,9.17,1.31,7.86,1.00190711,9.852282028,4.395439364,0,0,0,0,0,,,,,0,5,4,10,0.467125,0.404,0,0,0,0,stim
118,0.81608,4.6359,2.09568266,2.247736485,5.24,14.41,5.24,9.17,0.226223767,8.737586417,3.396769065,0.086571429,0,0,0.086571429,0,0,0,1,0,0,5,3,8,0.638780087,0.638780087,0,0,0,0,stim
168,0.979296,3.690338,1.106645305,3.211401981,2.62,7.86,1.31,6.55,0.208624721,7.323032858,0.973989071,0.033666667,0,0,0,0.033666667,0,0,0,1,0.168814286,1,1,8,3.931811263,3.757417198,0,0,0,0,stim
202,1.264924,5.923852,2.207669728,2.443339633,2.62,13.1,5.24,7.86,0.468193084,7.671803525,1.209959074,1.543055556,0.1818,1.243422222,0.117833333,0,0.117818182,0.805818182,0.076363636,0,0.308450794,8,6,9,0.044888889,0,0.024727224,0,0.016484816,0,stim
207,1.550552,6.864364,2.418267896,1.90369126,3.93,3.93,1.31,1.31,0.126334205,3.513721118,2.296008293,0.367879892,0.093230769,0,0,0.274649123,0.253427195,0,0,0.746572805,0,1,1,4,4.767371183,4.767371183,0.035312821,0,0,0,stim
216,0.571256,2.497528,0.868920599,3.839364656,2.62,11.79,6.55,5.24,0.344155848,11.27322348,2.211612564,0,0,0,0,0,,,,,0,3,2,7,0.620568928,0.606,0,0.214302608,0,0,stim
313,0.367236,2.38562,1.233239487,2.619353409,2.62,5.24,1.31,3.93,0.188034192,4.022395334,0.810306453,0,0,0,0,0,,,,,0,3,1,12,0.451685731,0.451685731,0,0,0,0,stim
340,0.40804,2.25028,0.987553239,3.138231465,2.62,5.24,1.31,3.93,0.210839152,4.247902781,0.992957127,0,0,0,0,0,,,,,0,2,2,9,1.506936648,1.470582198,0,0,0,0,stim
1,16.239992,39.741682,7.739213238,3.757547812,6.55,56.33,35.37,19.65,4.014310837,64.17581738,5.544587236,11.0005339,1.561800524,1.637863985,0.179790716,7.62107868,0.141974975,0.148889499,0.016343817,0.692791709,2.671584868,34,4,12,26.36253208,26.35384002,0.883975737,9.097794715,0,0,stim
2,19.58592,53.744726,11.73593961,3.900365441,5.24,10.48,2.62,6.55,0.551034331,15.29760654,3.352068968,16.52779393,8.530803816,0,0.257860352,7.739129764,0.51614897,0,0.015601619,0.46824941,0.75513924,47,4,9,24.69611048,23.49200077,0,211.206601,0,0,stim
3,10.568236,23.199498,4.052703282,7.554937298,7.86,34.06,3.93,28.82,2.911007643,60.67102695,7.149513437,0.478045132,0.077858638,0.219443434,0.023929231,0.156813828,0.162868803,0.459043341,0.050056426,0.32803143,0.005932867,31,8,9,26.6903052,26.05721704,0.325992509,0.195397536,0,0,stim
4,8.079192,25.3712,6.340218493,4.571066241,10.48,14.41,5.24,7.86,0.753831983,32.71971795,7.201669042,1.945347372,0.980571849,0.248360656,0.716414868,0,0.504060027,0.127669052,0.368270921,0,0.167435622,8,3,11,24.42921955,24.36508559,0.005406797,0.038596998,0,0,stim
6,13.220496,38.26486,8.813383016,5.558428481,7.86,22.27,7.86,13.1,0.749298513,35.57093884,4.63378434,1.118001204,0.295534723,0.018347521,0.738928051,0.065190909,0.264342044,0.016411003,0.660936722,0.058310232,0.481842261,52,6,8,23.21682235,23.21682235,0.477657869,3.940706398,0,0,stim
7,7.915976,24.342212,5.956700274,3.096929699,3.93,7.86,2.62,5.24,0.568542242,8.283551376,1.820063009,0.968872647,0.399511111,0.281382048,0,0.287979487,0.412346362,0.29042212,0,0.297231518,0.49675439,38,9,10,29.33029854,28.88882504,0,0,0,0,stim
9,5.71256,19.134854,5.100463772,2.654172636,6.55,10.48,2.62,7.86,0.445104897,8.000842628,2.591349758,0.034265696,0.013845599,0.020420097,0,0,0.40406589,0.59593411,0,0,0.158431373,29,13,6,29.31436917,29.31436917,0,0,0,0,stim
11,4.570048,14.889824,3.860543969,5.331398831,13.1,22.27,6.55,15.72,1.010864019,44.33412278,10.92161144,0.397334941,0.007976043,0.001994193,0,0.387364706,0.020073851,0.005018921,0,0.974907227,0.043270036,18,3,9,24.28456736,24.28456736,0.293570747,0.147735839,0,0,stim
15,7.426328,22.516132,5.432548111,5.332608136,5.24,11.79,2.62,9.17,0.665008068,16.70247675,3.71549341,3.949442341,2.445154463,0,1.504287879,0,0.619113852,0,0.380886148,0,0,25,9,9,29.73532572,29.13285431,0,0,0,0,stim
16,4.89648,18.401594,5.503222094,2.874971136,2.62,27.51,9.17,18.34,0.505332172,23.55852216,9.623798536,3.723644213,1.620962871,0.338590476,1.713590866,0.0505,0.43531626,0.090929868,0.460191889,0.013561983,1.283131043,17,4,15,32.17267644,30.45849215,1.654591339,1.206483983,0,0,stim
17,7.95678,18.339782,3.363884872,2.754242851,2.62,7.86,2.62,5.24,0.43623811,5.297783036,1.946674115,0.087351301,0.040961111,0.04639019,0,0,0.468923883,0.531076117,0,0,0.363547539,33,9,7,28.88882504,28.88882504,0,0,0,0,stim
18,3.509144,8.556922,1.660443461,3.125494285,3.93,27.51,15.72,11.79,1.587128043,22.01564207,6.406407314,0,0,0,0,0,,,,,0.022694003,13,8,8,29.8241657,29.34010886,0.01795697,0.020775676,0,0,stim
